name,review_count,rating,price,coordinates.latitude,coordinates.longitude,location.address1,location.zip_code,location.country,location.state,price_group
Radio Coffee & Beer,749,4,$,30.231538,-97.787778,4204 Manchaca Rd,78704,US,TX,1
Lola Savannah Coffee Lounge - Cedar Park,35,4,$,30.523808,-97.813843,1310 E Whitestone Blvd,78613,US,TX,1
Carpenter Coffee Bar,40,4,$,30.26216423,-97.75869637,400 Josephine St,78704,US,TX,1
Simona's,8,5,$,30.23756513,-97.75521816,2510 S Congress Ave,78704,US,TX,1
Ovenbird,70,4.5,$$,30.19513977,-97.77743125,6501 S Congress Ave,78745,US,TX,2
Medici Roasting,352,4,$,30.2795138,-97.759411,1101 W Lynn St,78703,US,TX,1
Brentwood Social House,247,4.5,$,30.33232,-97.73512,1601 W Koenig Ln,78756,US,TX,1
Balkan Cafe & Grill,322,4.5,$$,30.3876,-97.68399,11800 N Lamar Blvd,78753,US,TX,2
Good Things,20,4,$,30.26216381,-97.7382414,101 Red River St,78701,US,TX,1
Cosmic Coffee + Beer Garden,502,4.5,$$,30.22695652,-97.76249473,121 Pickle Rd,78704,US,TX,2
309 Coffee,116,4.5,$$,30.6403,-97.67681,309 S Main St,78626,US,TX,2
Turnstile Coffee Beer and Spirits,48,5,$$,30.38413,-97.72339,10025 Burnet Rd,78758,US,TX,2
Mazama Coffee Co,212,4.5,$,30.1927686,-98.089823,301-B Mercer St,78620,US,TX,1
Sa-Tén - Canopy,392,4.5,$,30.2619598,-97.6990253,916 Springdale Rd,78702,US,TX,1
Mary's Cafe,380,4.5,$,30.2914204,-97.7269608,3209 Red River St,78705,US,TX,1
Thirsty Armadillo Coffee Bar,22,5,$,30.40683878,-97.67267896,500 Canyon Ridge Dr,78753,US,TX,1
Black Rock Coffee Bar,29,4.5,$$,30.50483007,-97.7185513,17220 N RM 620 Rd,78681,US,TX,2
Stay While Coffee,7,5,$,30.25703,-97.69363,828 Airport Blvd,78702,US,TX,1
Summer Moon Coffee,5,4,$,30.38953,-97.88332,5145 N Fm 620,78732,US,TX,1
Halcyon,858,3.5,$$,30.26696006,-97.74572086,218 W 4th St,78701,US,TX,2
Austin Roasting Company,10,5,$,30.234006,-97.684962,720 US Hwy 183 S,78741,US,TX,1
Austin Grind,18,4,$,30.425009,-97.716014,4005 W Parmer Ln,78727,US,TX,1
Summer Moon Coffee,189,4.5,$$,30.49778,-97.77715,14900 Avery Ranch Blvd,78717,US,TX,2
Epicerie At The Contemporary,3,5,$,30.31218253,-97.77433388,3809 W 35th St,78703,US,TX,1
Austin Tea Xchange Cafe,243,5,$,30.30699,-97.94573,13011 Shops Pkwy,78738,US,TX,1
Stouthaus Coffee Pub,296,4.5,$,30.23260039,-97.81133568,4715 S Lamar Blvd,78745,US,TX,1
Two Hands,205,4,$$,30.25357919,-97.74792418,1011 South Congress Ave,78704,US,TX,2
Streamway Coffee,13,5,$,30.296489,-97.707396,4209 Airport Blvd,78722,US,TX,1
Spokesman Coffee - St Elmo,134,4.5,$,30.2164715,-97.7618791,440 E Saint Elmo Rd,78745,US,TX,1
Lamppost Coffee,5,4.5,$,30.54348,-97.54744,109 E St,78634,US,TX,1
Madrone Coffee Co.,30,4.5,$,30.23578509,-97.8590249,6266 US-290,78735,US,TX,1
Merit Coffee,78,4,$,30.25525,-97.76166,1105 S Lamar Blvd,78704,US,TX,1
Tinys Milk & Cookies - Austin,114,4.5,$,30.3065752,-97.7503918,1515 W 35th St,78703,US,TX,1
Nate's Baked Goods & Coffee,130,4.5,$,30.27145,-97.75932,401 Orchard St,78703,US,TX,1
Mojo Coffee,65,5,$,30.4623166,-97.8171699,12206 Ranch Rd 620 N,78750,US,TX,1
Patika,397,4.5,$,30.24750785,-97.77262229,2159 S Lamar Blvd,78704,US,TX,1
Saddle Up,6,5,$,30.2685724,-97.7251426,1309 Rosewood Ave,78702,US,TX,1
Paperboy,595,4.5,$$,30.2684012,-97.72755585,1203 E 11th St,78702,US,TX,2
Stinson's,196,4,$,30.3151275,-97.7417583,4416 Burnet Rd,78756,US,TX,1
